ccp,HS_GPA,medianIncome,TERM_GPA,Early_alert,Persist,Retained,Scholarship Level_1.0,Scholarship Level_2.0,Scholarship Level_3.0,Scholarship Level_4.0,Scholarship Level_5.0,SEX_M,OBOR_RANK_JR,OBOR_RANK_NU,OBOR_RANK_SO,OBOR_RANK_SR,LIVING_CODE_OTHER
0.0,3.108,38677.0,3.33,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0.0,3.49,58160.0,2.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
15.0,4.672,76698.0,4.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0.0,3.183,64772.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52.0,3.242,64831.0,2.43,1,1,1,0,0,0,0,0,0,0,0,1,0,0
3.0,3.505,68525.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26.0,3.42,63823.0,3.0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
13.0,3.214,58351.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,3.441,77210.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.0,3.82,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32.0,3.334,109711.0,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.0,3.4719294297574828,50186.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,3.41,44817.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
12.0,3.284,75199.0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,3.87,0.0,2.2,1,1,1,0,0,0,0,0,1,0,0,0,0,1
0.0,3.97,0.0,4.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
0.0,3.7,28494.0,3.44,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0.0,3.811,63068.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15.0,4.091,88132.0,3.67,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6.0,3.9,0.0,3.6,0,1,1,0,0,0,0,0,1,0,0,0,0,1
64.0,4.315,55831.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23.0,2.553,63775.0,3.71,0,1,1,0,0,0,0,0,0,0,0,1,0,1
0.0,2.422,83354.0,1.62,0,1,0,0,0,0,0,0,1,0,0,0,0,1
60.0,3.438,56420.0,0.4,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0.0,2.267,80020.0,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1
9.0,3.374,90109.0,3.57,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.0,3.513,46417.0,2.58,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0.0,3.5,0.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.0,2.9,28494.0,3.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0
